,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
grover-noancilla_nativegates_ibm_qiskit_opt0_4.qasm,450,52,65.4,259,40,40.5,237,33,33.6,204,52,47.8
grover-noancilla_nativegates_ibm_qiskit_opt0_5.qasm,1369,174,206.4,746,108,108,802,101,101.9,612,174,156.2
grover-noancilla_nativegates_ibm_qiskit_opt0_6.qasm,4128,512,607.5,2197,338,339.2,2503,288,296.9,1895,512,469.1
grover-noancilla_nativegates_ibm_qiskit_opt0_7.qasm,12151,1680,1912,8646,1152,1155,6938,674,687.8,5625,1680,1495.7
grover-noancilla_nativegates_ibm_qiskit_opt0_8.qasm,32390,4544,5120.1,23314,2938,2941.3,18572,1646,1683.1,15160,4544,4047.6
grover-v-chain_nativegates_ibm_qiskit_opt0_2.qasm,4,0,0.3,3,0,0.2,3,0,0.2,4,0,0.3
grover-v-chain_nativegates_ibm_qiskit_opt0_3.qasm,92,9,12.6,41,7,7,41,7,7,45,9,8.8
grover-v-chain_nativegates_ibm_qiskit_opt0_4.qasm,450,52,65.4,259,40,40.5,237,33,33.6,204,52,47.8
grover-v-chain_nativegates_ibm_qiskit_opt0_5.qasm,1369,168,201.2,904,124,124.2,829,108,109,607,168,152.2
grover-v-chain_nativegates_ibm_qiskit_opt0_7.qasm,3424,440,513.5,2374,323,322.4,2031,233,234,1532,440,395.6
grover-v-chain_nativegates_ibm_qiskit_opt0_9.qasm,9547,1272,1458.4,7166,939,935.5,5640,599,603.8,4335,1272,1138.9
grover-v-chain_nativegates_ibm_qiskit_opt0_11.qasm,23990,3280,3716.2,18690,2396,2389.7,13781,1337,1347.5,11072,3280,2931.5
portfolioqaoa_nativegates_ibm_qiskit_opt0_3.qasm,180,18,25.3,88,17,16.9,88,17,16.9,97,18,18.3
portfolioqaoa_nativegates_ibm_qiskit_opt0_4.qasm,318,36,47.3,155,23,23.5,149,22,22.4,183,36,36.1
portfolioqaoa_nativegates_ibm_qiskit_opt0_5.qasm,495,60,76,232,33,32.5,232,33,32.5,285,60,59.1
portfolioqaoa_nativegates_ibm_qiskit_opt0_6.qasm,711,90,111.3,319,39,39,319,39,39,394,90,87.2
portfolioqaoa_nativegates_ibm_qiskit_opt0_7.qasm,966,126,153.3,459,51,50.9,455,48,47.9,518,126,120.2
portfolioqaoa_nativegates_ibm_qiskit_opt0_8.qasm,1260,168,202,567,58,57.8,567,58,57.8,673,168,158.7
portfolioqaoa_nativegates_ibm_qiskit_opt0_9.qasm,1593,216,257.4,680,71,70.6,680,71,70.6,841,216,201.9
portfolioqaoa_nativegates_ibm_qiskit_opt0_10.qasm,1965,270,319.4,852,78,78.4,870,77,77.7,1014,270,250
portfolioqaoa_nativegates_ibm_qiskit_opt0_11.qasm,2376,330,388.1,956,85,85,956,85,85,1208,330,303.5
portfolioqaoa_nativegates_ibm_qiskit_opt0_12.qasm,2826,396,463.5,1272,103,102.9,1214,87,87.6,1400,396,361.3
portfolioqaoa_nativegates_ibm_qiskit_opt0_13.qasm,3315,468,545.5,1368,111,110.1,1368,111,110.1,1631,468,424.9
portfolioqaoa_nativegates_ibm_qiskit_opt0_14.qasm,3843,546,634.2,1631,107,106.2,1631,107,106.2,1868,546,493
portfolioqaoa_nativegates_ibm_qiskit_opt0_15.qasm,4410,630,729.6,2499,246,242.8,1928,119,118.9,2107,630,566
portfolioqaoa_nativegates_ibm_qiskit_opt0_16.qasm,5016,720,831.7,2069,143,142.2,2069,143,142.2,2361,720,645
portfolioqaoa_nativegates_ibm_qiskit_opt0_17.qasm,5661,816,940.4,2502,171,169.8,2317,134,133.6,2637,816,728
portfoliovqe_nativegates_ibm_qiskit_opt0_3.qasm,168,9,16.3,52,11,11,51,11,10.9,41,9,9
portfoliovqe_nativegates_ibm_qiskit_opt0_4.qasm,296,18,30.1,102,12,12.6,82,8,8.3,67,18,16.6
portfoliovqe_nativegates_ibm_qiskit_opt0_5.qasm,460,30,48.3,142,20,20.4,155,18,18.6,101,30,26.9
portfoliovqe_nativegates_ibm_qiskit_opt0_6.qasm,660,45,70.8,197,27,26.9,188,14,14.9,133,45,38.9
portfoliovqe_nativegates_ibm_qiskit_opt0_7.qasm,896,63,97.7,202,22,22.3,215,22,22.6,181,63,53.8
portfoliovqe_nativegates_ibm_qiskit_opt0_8.qasm,1168,84,128.8,262,35,34.1,346,21,22.3,225,84,70.5
portfoliovqe_nativegates_ibm_qiskit_opt0_9.qasm,1476,108,164.3,353,36,36,311,22,23,279,108,90
portfoliovqe_nativegates_ibm_qiskit_opt0_10.qasm,1820,135,204.1,366,47,46.2,528,27,28.6,341,135,111.6
portfoliovqe_nativegates_ibm_qiskit_opt0_11.qasm,2200,165,248.3,451,43,43,430,24,24.7,403,165,135.5
portfoliovqe_nativegates_ibm_qiskit_opt0_12.qasm,2616,198,296.7,420,56,54.4,746,34,35.9,477,198,161.9
portfoliovqe_nativegates_ibm_qiskit_opt0_13.qasm,3068,234,349.5,453,48,47.2,566,35,36.5,555,234,190.6
qaoa_nativegates_ibm_qiskit_opt0_3.qasm,117,12,16.5,40,9,8.7,40,9,8.7,69,12,12.2
qaoa_nativegates_ibm_qiskit_opt0_4.qasm,156,16,21.9,67,15,14.3,67,15,14.3,94,16,16.4
qaoa_nativegates_ibm_qiskit_opt0_5.qasm,195,20,27.4,70,16,15.3,70,16,15.3,118,20,20.4
qaoa_nativegates_ibm_qiskit_opt0_6.qasm,234,24,31.9,113,19,18.4,111,18,17.4,137,24,24.2
qaoa_nativegates_ibm_qiskit_opt0_7.qasm,273,28,37.4,103,14,13.4,103,14,13.4,161,28,28.3
qaoa_nativegates_ibm_qiskit_opt0_8.qasm,312,32,42.2,127,23,22.3,127,23,22.3,180,32,31.8
qaoa_nativegates_ibm_qiskit_opt0_9.qasm,351,36,46.4,142,26,25.4,142,26,25.4,196,36,35.9
qaoa_nativegates_ibm_qiskit_opt0_10.qasm,390,40,53.2,152,19,18.6,152,19,18.6,232,40,40.1
qaoa_nativegates_ibm_qiskit_opt0_11.qasm,429,44,59.4,164,34,32.4,164,34,32.4,256,44,44.3
qaoa_nativegates_ibm_qiskit_opt0_12.qasm,468,48,64.9,211,28,27.3,210,27,26.3,283,48,48
qaoa_nativegates_ibm_qiskit_opt0_13.qasm,507,52,68.5,246,36,35.1,217,30,29.5,301,52,52.1
qaoa_nativegates_ibm_qiskit_opt0_14.qasm,546,56,74.5,207,22,21.1,207,22,21.1,319,56,55.9
qaoa_nativegates_ibm_qiskit_opt0_15.qasm,585,60,79.6,232,33,32.2,232,33,32.2,343,60,60
qaoa_nativegates_ibm_qiskit_opt0_16.qasm,624,64,85.4,242,31,30.5,242,31,30.5,378,64,64
qft_nativegates_ibm_qiskit_opt0_2.qasm,39,5,6.3,9,2,2,9,2,2,20,3,3.1
qft_nativegates_ibm_qiskit_opt0_3.qasm,72,9,11.1,26,6,5.9,26,6,5.9,49,9,8.9
qft_nativegates_ibm_qiskit_opt0_4.qasm,138,18,21.1,50,10,9.6,55,9,9.2,88,18,17.5
qft_nativegates_ibm_qiskit_opt0_5.qasm,201,26,30.3,95,13,13,85,11,11.2,117,26,24.8
